id,car_plate,customer_id,customer_gender,customer_age,time_beginning,time_end,lon_beginning,lat_beginning,lon_end,lat_end,time_park,area_id,area_name,fleet_id,time_beginning_formatted,time_end_formatted,time_beginning_hour,time_beginning_minute,time_beginning_second
54686,ED93295,3188,male,22,"2015-10-28 00:04:55+01","2015-10-28 00:32:43+01",91704,454983,91671,455021,0,77,BOVISA,1,"2015-10-28 00:04:55","2015-10-28 00:32:43",0,4,28
54687,EF37653,7065,male,31,"2015-10-28 00:05:07+01","2015-10-28 00:37:09+01",112627,437837,112651,437872,0,2,"CAMPO DI MARTE",2,"2015-10-28 00:05:07","2015-10-28 00:37:09",0,5,28
54689,DD30912,4970,male,37,"2015-10-28 00:10:01+01","2015-10-28 00:23:48+01",91719,454533,91668,454774,0,44,NAVIGLI,1,"2015-10-28 00:10:01","2015-10-28 00:23:48",0,10,28
54690,ED93101,159,male,25,"2015-10-28 00:11:10+01","2015-10-28 00:20:31+01",91895,454567,92055,454280,0,5,VIGENTINA,1,"2015-10-28 00:11:10","2015-10-28 00:20:31",0,11,28
54691,DR53550,171,male,34,"2015-10-28 00:11:27+01","2015-10-28 00:24:54+01",92353,454811,92116,454522,0,22,"CITTA' STUDI",1,"2015-10-28 00:11:27","2015-10-28 00:24:54",0,11,28
54693,DR53536,5661,male,46,"2015-10-28 00:18:36+01","2015-10-28 00:31:49+01",92284,454483,92136,454830,0,29,ORTOMERCATO,1,"2015-10-28 00:18:36","2015-10-28 00:31:49",0,18,28
54694,ED93105,3315,male,25,"2015-10-28 00:19:05+01","2015-10-28 00:30:22+01",92038,454513,92266,454442,0,27,"PORTA ROMANA",1,"2015-10-28 00:19:05","2015-10-28 00:30:22",0,19,28
54695,DD30917,3259,male,23,"2015-10-28 00:32:53+01","2015-10-28 01:01:17+01",91693,454373,92120,455167,0,46,BARONA,1,"2015-10-28 00:32:53","2015-10-28 01:01:17",0,32,28
54698,DR53562,2013,male,33,"2015-10-28 00:36:21+01","2015-10-28 00:55:00+01",91915,455032,91761,454774,0,12,"MACIACHINI - MAGGIOLINA",1,"2015-10-28 00:36:21","2015-10-28 00:55:00",0,36,28
54699,DR53539,4831,male,26,"2015-10-28 00:39:31+01","2015-10-28 00:40:33+01",90903,454778,90903,454778,0,62,"QUINTO ROMANO",1,"2015-10-28 00:39:31","2015-10-28 00:40:33",0,39,28
54700,ED06246,5446,male,47,"2015-10-28 00:51:41+01","2015-10-28 01:09:53+01",91664,454901,92160,454752,0,70,GHISOLFA,1,"2015-10-28 00:51:41","2015-10-28 01:09:53",0,51,28
54701,DS32017,178,male,25,"2015-10-28 00:59:04+01","2015-10-28 01:31:00+01",92087,455180,92010,454330,0,15,BICOCCA,1,"2015-10-28 00:59:04","2015-10-28 01:31:00",0,59,28
54705,DD30912,553,male,24,"2015-10-28 01:11:45+01","2015-10-28 01:21:46+01",91668,454775,91667,454774,0,68,PAGANO,1,"2015-10-28 01:11:45","2015-10-28 01:21:46",1,11,28
54708,ED06213,3268,male,40,"2015-10-28 01:24:43+01","2015-10-28 01:34:23+01",92086,454674,91882,454810,0,26,"XXII MARZO",1,"2015-10-28 01:24:43","2015-10-28 01:34:23",1,24,28
54709,EF37657,7044,male,23,"2015-10-28 01:39:38+01","2015-10-28 01:50:26+01",112693,437689,113045,437525,0,1,"CENTRO STORICO",2,"2015-10-28 01:39:38","2015-10-28 01:50:26",1,39,28
54714,ED06213,5836,female,22,"2015-10-28 02:38:13+01","2015-10-28 03:17:07+01",91882,454809,91832,454409,0,9,"GARIBALDI REPUBBLICA",1,"2015-10-28 02:38:13","2015-10-28 03:17:07",2,38,28
54762,ED06223,4494,male,43,"2015-10-28 06:27:23+01","2015-10-28 06:39:32+01",91695,454584,91433,454906,0,7,"MAGENTA - S. VITTORE",1,"2015-10-28 06:27:23","2015-10-28 06:39:32",6,27,28
54767,EF37682,6742,male,48,"2015-10-28 06:56:53+01","2015-10-28 07:17:14+01",112141,437734,112783,437665,0,4,"ISOLOTTO LEGNAIA",2,"2015-10-28 06:56:53","2015-10-28 07:17:14",6,56,28
54768,ED06224,929,male,63,"2015-10-28 07:17:17+01","2015-10-28 07:24:50+01",91576,454307,91675,454419,0,46,BARONA,1,"2015-10-28 07:17:17","2015-10-28 07:24:50",7,17,28
54770,ED06270,107,male,35,"2015-10-28 07:35:13+01","2015-10-28 08:03:58+01",92436,454893,91640,454844,0,18,"PARCO LAMBRO - CIMIANO",1,"2015-10-28 07:35:13","2015-10-28 08:03:58",7,35,28
54771,DR53550,2407,female,41,"2015-10-28 07:38:11+01","2015-10-28 07:46:38+01",92115,454522,92030,454648,0,27,"PORTA ROMANA",1,"2015-10-28 07:38:11","2015-10-28 07:46:38",7,38,28
54772,ED93294,5678,female,49,"2015-10-28 07:39:21+01","2015-10-28 07:51:13+01",91925,454665,91718,454658,0,1,DUOMO,1,"2015-10-28 07:39:21","2015-10-28 07:51:13",7,39,28
54774,ED06210,4669,male,55,"2015-10-28 07:44:39+01","2015-10-28 07:54:19+01",92056,454767,92176,454792,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 07:44:39","2015-10-28 07:54:19",7,44,28
54775,ED06222,1721,male,40,"2015-10-28 07:45:41+01","2015-10-28 08:12:10+01",91687,454781,91960,454751,264,68,PAGANO,1,"2015-10-28 07:45:41","2015-10-28 08:12:10",7,45,28
54777,DR53522,4827,female,35,"2015-10-28 07:50:24+01","2015-10-28 08:05:57+01",92368,454704,92125,454563,0,22,"CITTA' STUDI",1,"2015-10-28 07:50:24","2015-10-28 08:05:57",7,50,28
54784,DR53555,2287,male,41,"2015-10-28 08:01:02+01","2015-10-28 08:15:24+01",92048,454845,91882,454658,0,10,CENTRALE,1,"2015-10-28 08:01:02","2015-10-28 08:15:24",8,1,28
54787,DR53572,1551,male,51,"2015-10-28 08:03:44+01","2015-10-28 08:36:45+01",91532,454946,92119,454953,0,71,VILLAPIZZONE,1,"2015-10-28 08:03:44","2015-10-28 08:36:45",8,3,28
54789,EF37613,7283,female,20,"2015-10-28 08:07:50+01","2015-10-28 09:02:48+01",112464,437871,112700,437777,0,5,RIFREDI,2,"2015-10-28 08:07:50","2015-10-28 09:02:48",8,7,28
54791,ED93294,5678,female,49,"2015-10-28 08:10:20+01","2015-10-28 08:23:49+01",91718,454658,91923,454707,0,7,"MAGENTA - S. VITTORE",1,"2015-10-28 08:10:20","2015-10-28 08:23:49",8,10,28
54792,DR53542,1007,male,19,"2015-10-28 08:10:39+01","2015-10-28 08:33:10+01",92313,454561,92037,454674,0,29,ORTOMERCATO,1,"2015-10-28 08:10:39","2015-10-28 08:33:10",8,10,28
54793,ED06298,6028,female,36,"2015-10-28 08:11:01+01","2015-10-28 08:21:01+01",92209,454613,92208,454612,0,26,"XXII MARZO",1,"2015-10-28 08:11:01","2015-10-28 08:21:01",8,11,28
54794,ED06263,4088,male,25,"2015-10-28 08:13:14+01","2015-10-28 08:30:43+01",91331,454685,91474,454435,0,57,SELINUNTE,1,"2015-10-28 08:13:14","2015-10-28 08:30:43",8,13,28
54795,ED06259,2058,female,24,"2015-10-28 08:13:43+01","2015-10-28 08:28:08+01",91561,454861,91699,454689,0,67,PORTELLO,1,"2015-10-28 08:13:43","2015-10-28 08:28:08",8,13,28
